Title,Genre,Rating,Runtime,Release_Date,Release_Month,Release_Year,Budget,Cast_1,Cast_2,Cast_3,Director_1,Writer_1,Description,Tomatometer_Status,Tomatometer_Rating,Tomatometer_Count,Audience_Status,Audience_Rating,Audience_Count
Alvin and the Chipmunks: The Squeakquel,Comedy,PG ,88,12/23/2009,12,2009,75000000,Justin Long,Matthew Gray Gubler,Jesse McCartney,Betty Thomas,Jon Vitti,"""Alvin and The Chipmunks: The Squeakquel"" brings back our favorite furry brothers, Alvin, Simon and Theodore. Because of a freak accident involving Alvin and Dave Seville, they go to live with Dave Seville's cool cousin Toby and must enroll in school just like every other kid. School presents new challenges to these rock stars, like dealing with peer pressure, school sports and of course, girls! By ""girls"" we mean the Chipettes who are managed by Ian Hawke, the Chipmunks greedy former manager who wants to turn them into the next big thing. At the outset, there is a rivalry between the Chipettes and The Chipmunks but in the end they realize that they make great friends and a great musical team!",Rotten,20,84,Spilled,49,368619
Winnie the Pooh,Kids&Family,G,73,7/15/2011,7,2011,30000000,Jim Cummings,Craig Ferguson,Jack Boulter,Stephen J. Anderson,Don Dougherty,"Walt Disney Animation Studios returns to the Hundred Acre Wood with Winnie the Pooh. Featuring the timeless charm, wit and whimsy of the original featurettes, this all-new movie reunites audiences with the philosophical ""bear of very little brain"" and friends Tigger, Rabbit, Piglet, Owl, Kanga, Roo-and last, but certainly not least, Eeyore, who has lost his tail. ""Ever have one of those days where you just can't win, Eeyore?"" asks Pooh. Owl sends the whole gang on a wild quest to save Christopher Robin from an imaginary culprit. It turns out to be a very busy day for a bear who simply set out to find some honey. Inspired by three stories from A.A. Milne's books in Disney's classic, hand-drawn art style. -- (C) Walt Disney",Certified-Fresh,91,130,Upright,80,36356
The Swan Princess,Kids&Family,G,90,6/1/1994,6,1994,35000000,Jack Palance,Howard McGillin,Michelle Nicastro,Richard Rich,Writer Not Available,"The Swan Princess is an animated, musical adaption of the fairy tale, ""Swan Lake."" An aging king (Dakin Matthews) and a widowed queen (Sandy Duncan) arrange a marriage between his only daughter and her only son, despite the two children's initial dislike of one another. Eventually they fall in love, but the evil sorcerer Rothbart (Jack Palance), desiring the throne for himself, enchants the princess Odette (Michelle Nicastro). She is a swan by day, and becomes a woman only when the moon rises. Prince Derek (Howard McGillin) refuses to accept another bride and continues to search for his lost love. When he finds her, Derek must fight the sorcerer to free her from the spell. Winner of the Film Advisory Board Award of Excellence and the Parent's Choice Award, this adventure exhibits high quality animation and a blend of romantic and humorous musical numbers. The animal characters are fun without being too cute, including Jean-Bob the frog who thinks he is a prince, given voice by John Cleese. The subtle layering of spiritual symbolism makes this film intelligent enough for adults to enjoy as well as children. ~ Lucinda Ramsey, Rovi",Rotten,50,12,Upright,66,53268
How to Train Your Dragon,Kids&Family,PG ,98,3/26/2010,3,2010,165000000,Jay Baruchel,Gerard Butler,Craig Ferguson,Dean DeBlois,Chris Sanders,"The son of a Viking chief must capture a dragon in order to mark his passage into manhood and prove his worthiness to the tribe in directors Chris Sanders and Dean DeBlois' adaptation of Cressida Cowell's popular children's book. Gerard Butler, America Ferrera, Jonah Hill, Jay Baruchel, and Christopher Mintz-Plasse provide voices for the DreamWorks Animation production. ~ Jason Buchanan, Rovi",Certified-Fresh,99,210,Upright,91,312762
Cloudy With a Chance of Meatballs,Comedy,PG ,81,9/18/2009,9,2009,100000000,Bill Hader,Anna Faris,James Caan,Chris Miller,Chris Miller,"Inspired by Ron and Judi Barrett's beloved children's book of the same name, Cloudy with a Chance of Meatballs follows inventor Flint Lockwood (voice of Bill Hader) and a brainy weathergirl (voice of Anna Faris) as they attempt to discover why the rain in their small town has stopped, and food is falling in its place. Meanwhile, lifelong bully Brent (voice of Andy Samberg) relishes in tormenting Flint like he did when they were kids, and Mayor Shelbourne (voice of Bruce Campbell) schemes to use Flint's latest invention -- a device designed to improve everyone's lives -- for his own personal gain. ~ Jason Buchanan, Rovi",Certified-Fresh,86,143,Upright,72,488105
The Fox and the Hound,Kids&Family,G,83,7/10/1981,7,1981,12000000,Mickey Rooney,Kurt Russell,Keith Coogan,Ted Berman,Larry Clemmons,The lifelong friendship between a fox cub and a bloodhound puppy provides the basis of this rollicking and tender animated tale from Disney.,Fresh,70,27,Upright,78,313381
Home on the Range,Kids&Family,PG ,76,4/2/2004,4,2004,110000000,Jennifer Tilly,Roseanne Barr,Judi Dench,Will Finn,Will Finn,"Set in a fanciful version of the untamed West, a musical comedy about what takes place when a group of underdog animal charters face dangerous odds and band together to achieve a common goal. A greedy yodeling outlaw named Alameda Slim schemes to take possession of the ""Patch of Heaven"" dairy farm from its kindly owner Pearl. Unwilling to stand by and see their idyllic way of life threatened, three determined cows, a karate-kicking stallion named Buck, and a colorful corral of critters join forces to save the farm in a wild quest, full of high-spirited adventure. Braving bad men and the rugged western landscape, this unlikely assortment of animals risk their hides and match wits with a mysterious bounty hunter named Rico in a high stakes race to capture Slim and collect the reward money.",Rotten,53,129,Spilled,29,32273
The Triplets of Belleville,Art&Foreign,PG-13 ,81,11/26/2003,11,2003,8000000,Jean-Claude Donda,Michel Robin,Monica Vegas,Sylvain Chomet,Sylvain Chomet,"French filmmaker Sylvain Chomet directs the animated feature The Triplets of Belleville. A young boy is raised by his grandmother, Madame Souza, in the French countryside. She buys him a bicycle and encourages his dream of winning the Tour de France. However, he gets kidnapped by a group of Mafia gangsters and taken to the big city of Belleville, where he is used for his bicycling prowess in an elaborate gambling scheme. Along with her faithful companion Bruno, Madame Souza sets out to rescue her grandson. They befriend a trio of aging musicians who were once the '30s jazz trio known as The Triplets of Belleville. Features an original jazz musical score by Benot Charest. ~ Andrea LeVasseur, Rovi",Certified-Fresh,94,150,Upright,90,40243
The Emperor's New Groove,Kids&Family,G,79,12/15/2000,12,2000,100000000,David Spade,John Goodman,Eartha Kitt,Mark Dindal,Jonathan Roberts,"In a mythical mountain kingdom, arrogant, young Emperor Kuzco is transformed into a llama by his power-hungry advisor, the devious diva Yzma. Stranded in the jungle, Kuzco's only chance to get back home and reclaim the high life rests with a good-hearted peasant named Pacha. Kuzco's perfect world becomes a perfect mess as this most unlikely duo must deal with hair-raising dangers, wild comic predicaments, and -- most horrifying of all - each other as they race to return Kuzco to the throne before Yzma tracks them down and finishes him off.",Certified-Fresh,85,131,Upright,83,450407
The Smurfs 2,Comedy,PG ,105,7/31/2013,7,2013,105000000,Hank Azaria,Neil Patrick Harris,Brendan Gleeson,Raja Gosnell,David N. Weiss,"The Smurfs are back with this follow-up to the blockbuster smash hit from 2011. J. David Stem and David Weiss provide the script, from a story they wrote with Jay Scherick and David Ronn. ~ Jeremy Wheeler, Rovi",Rotten,14,95,Spilled,56,73544
Pixels,Drama,PG-13 ,106,7/24/2015,7,2015,88000000,Adam Sandler,Peter Dinklage,Kevin James,Chris Columbus,Tim Herlihy,"As kids in the 1980s, Sam Brenner (Adam Sandler), Will Cooper (Kevin James), Ludlow Lamonsoff (Josh Gad), and Eddie ""The Fire Blaster"" Plant (Peter Dinklage) saved the world thousands of times - at 25 cents a game in the video arcades. Now, they're going to have to do it for real. In Pixels, when intergalactic aliens discover video feeds of classic arcade games and misinterpret them as a declaration of war, they attack the Earth, using the video games as the models for their assaults -- and now-U.S. President Cooper must call on his old-school arcade friends to save the world from being destroyed by PAC-MAN, Donkey Kong, Galaga, Centipede, and Space Invaders. Joining them is Lt. Col. Violet Van Patten (Michelle Monaghan), a specialist supplying the arcaders with unique weapons to fight the aliens.(C) Sony",Rotten,17,201,Spilled,46,70019
Beauty and the Beast,Drama,G,85,11/22/1991,11,1991,25000000,Paige O'Hara,Robby Benson,Jerry Orbach,Gary Trousdale,Writer Not Available,"Walt Disney Animation Studios' magical classic Beauty and the Beast returns to the big screen in Disney Digital 3D(TM), introducing a whole new generation to the Disney classic with stunning new 3D imagery. The film captures the fantastic journey of Belle (voice of Paige O'Hara), a bright and beautiful young woman who's taken prisoner by a hideous beast (voice of Robby Benson) in his castle. Despite her precarious situation, Belle befriends the castle's enchanted staff-a teapot, a candelabra and a mantel clock, among others-and ultimately learns to see beneath the Beast's exterior to discover the heart and soul of a prince. -- (C) Disney",Certified-Fresh,94,117,Upright,92,760077
Titan A.E.,Kids&Family,PG ,95,6/16/2000,6,2000,75000000,Matt Damon,Bill Pullman,Drew Barrymore,Don Bluth,Ben Edlund,"Titan A.E. combines cel and CG imagery in this science fiction saga. In 3028, after the Earth is destroyed by an invading alien race, a tiny number of surviving humans roam the universe in ragtag spaceships, trying to find each other and maintain some sense of community. Shortly before the final destruction of the planet, Cale (voice of Matt Damon) was given a map that would guide him to a space station called Titan, secretly constructed as a last hope in the event of alien Armageddon. Cale sets out in search of Titan and the fabled Ice Planet with the help of his friend Korso (voice of Bill Pullman), the beautiful Akima (voice of Drew Barrymore), and a crew of friendly aliens. Titan A.E. was directed by noted animators Don Bluth and Gary Goldman and scripted by Ben Edlund, creator of the comic book series The Tick. Other members of the voice cast include Nathan Lane, Janeane Garofalo, John Leguizamo, and Tone Loc. ~ Mark Deming, Rovi",Rotten,51,101,Upright,60,69385
Antz,Comedy,PG ,83,10/2/1998,10,1998,60000000,Woody Allen,Sharon Stone,Gene Hackman,Eric Darnell,Todd Alcott,"Central Park ant drone Z longs to be an individual of accomplishment, but Z's colony is a society that puts the value of the colony over personal achievement. Young Z sets his sites on the colony's Queen daughter Bala- who is uninterested until Z successfully mounts a revolution within the colony for the advancement of individuality.",Certified-Fresh,92,93,Spilled,52,651974
